,Date,Gbp.usd,Domestic.Production.from.UKCS,Import,Per.GDP.Growth,Average.Temperature,Price.Electricity,Price.Gas,Gbp.eur,Price.ngl,Number.of.gas.switches,Electricity.churn.ratios,Price.lng,Price.coal,Price.gas.oil,Price.standard.grade.burning.oil,Price.diesel,Price.premium.unleaded,Price.super.unleaded,Price.wti.crude,Price.brent.crude
1,01/10/2010,1.604,3.54,5.4,0.2,10.44,43.5,46,1.1412,12.15,305000,2.5,9.52,103.2071429,45.3,45.3,120.59,117.2,124.65,81.89,82.67
2,01/11/2010,1.5553,3.46,6.74,-0.1,5.52,46.4,49.66,1.1701,12.71,322000,2.7,10,112.5837662,46.65,46.65,122.47,118.7,125.97,84.25,85.28
3,01/12/2010,1.5601,3.54,9,-0.9,0.63,58.03,62.26,1.1802,13.07,328000,1.8,9.95,123.7857143,50.25,50.25,125.76,121.61,128.86,89.15,91.45
4,01/01/2011,1.6015,3.59,7.58,0.6,4.05,48.43,55.98,1.1817,13.03,279000,2.4,10.81,140.9935714,55.14,55.14,132.08,127.53,134.83,89.17,96.52
5,01/02/2011,1.6258,3.2,5.68,0.4,6.29,46.47,53.74,1.1815,13.65,211000,3.6,11.89,134.6244643,55.6,55.6,133.45,128.37,135.34,88.58,103.72
6,01/03/2011,1.6033,3.4,5.93,0.5,6.59,51.41,60.39,1.1527,14.38,307000,4.4,12.18,135.9712733,57.6,57.6,138.13,131.89,137.94,102.86,114.64
7,01/04/2011,1.6704,3.26,4.84,-0.9,11.35,50.88,57.23,1.1331,15.45,246000,2.8,14.41,131.5255952,61.21,61.21,141.12,134.74,141.8,109.53,123.26
8,01/05/2011,1.6451,2.79,4.62,1,11.78,50.27,57.01,1.1403,15.62,308000,2.1,15.75,127.9628571,60.41,60.41,141.51,136.71,144.36,100.9,114.99
9,01/06/2011,1.6049,2.83,3.41,-0.1,13.37,50.82,58.25,1.1261,15.23,259000,3.5,16.29,128.362013,58.84,58.84,139.64,135.56,142.8,96.26,113.83
10,01/07/2011,1.6421,2.6,3.81,0.4,14.79,47.96,55.09,1.1308,15.8,301000,3.4,16.29,128.9892857,58.64,58.64,139.42,135.11,142.92,97.3,116.97
11,01/08/2011,1.6254,1.84,4.5,-0.4,14.9,47.36,54.06,1.1422,15.24,343000,3.7,17.7,127.462013,57.72,57.72,139.85,135.35,142.9,86.33,110.22
12,01/09/2011,1.5584,2.27,3.74,0.2,14.6,48.32,53.64,1.147,15.88,309000,3.5,17.78,130.5618506,57.06,57.06,139.15,134.75,142.01,85.52,112.83
13,01/10/2011,1.6091,3,4.58,-0.5,12.13,46.83,56.05,1.1487,15.71,247000,3,17.6,127.9127551,57.44,57.44,139.37,133.97,141.54,86.32,109.55
14,01/11/2011,1.5696,3.27,4.92,1,9.73,46.15,58.15,1.1659,15.7,240000,3.5,17.89,122.7452922,57.9,57.9,140.25,133.18,140.69,97.16,110.77
15,01/12/2011,1.5537,3.22,6.16,0.2,6.01,43.54,56.04,1.1843,15.31,219000,2,18.05,118.1764286,60.59,60.59,140.63,132.09,139.74,98.56,107.87
16,01/01/2012,1.5758,3.02,6.48,0.2,5.59,42.17,54.43,1.2034,13.82,194000,3.2,17.46,123.0857143,61.04,61.04,141.34,132.89,140.4,100.27,110.69
17,01/02/2012,1.5917,2.81,6.75,-0.3,5,49.1,65.41,1.1941,12.47,149000,3.5,16.71,124.9668367,61.52,61.52,142.56,134.56,141.82,102.2,119.33
18,01/03/2012,1.6013,3.16,4.99,0.3,8.41,45.64,58.44,1.1981,13.13,190000,3,18.42,114.150974,63.28,63.28,145.04,137.67,144.9,106.16,125.45
19,01/04/2012,1.6233,2.56,4.94,-0.5,7.19,45.91,59.94,1.2161,12.72,176000,2.1,19.57,110.3537594,64.4,64.4,147.78,141.74,148.85,103.32,119.75
20,01/05/2012,1.5405,2.38,4.35,1.2,11.15,43.79,57.01,1.244,10.83,202000,3.3,18.33,103.8194805,59.1,59.1,144.01,137.68,145.36,94.66,110.34
21,01/06/2012,1.5709,2.29,3.3,-1.6,13.01,42.24,55.15,1.2416,8.7,192000,3.3,19.38,92.75469925,54.5,54.5,137.44,131.63,139.36,82.3,95.16
22,01/07/2012,1.5677,2.1,3.5,1.9,14.72,42.71,55.6,1.2688,9.66,190000,3.2,19.1,91.36412338,53.74,53.74,136.59,131.08,138.44,87.9,102.62
23,01/08/2012,1.5866,2.03,3.26,0.5,16.02,41.21,54.53,1.2676,10.18,187000,2.9,18.39,93.45633117,57.87,57.87,139.41,134.13,141.59,94.13,113.36
24,01/09/2012,1.6166,2.02,2.44,-1,12.85,43.39,60.45,1.2524,10.04,195000,2.8,18.76,93.18160714,60.65,60.65,143.98,139.13,146.45,94.51,112.86
25,01/10/2012,1.613,2.5,4.32,0.5,9.33,47.6,64.35,1.2393,10.35,273000,2.7,17.27,86.88540373,60.44,60.44,143.02,138.08,145.58,89.49,111.71
26,01/11/2012,1.6013,2.39,5.6,0.1,6.84,49,65.63,1.244,10.16,174000,2.6,16.83,87.21964286,57.75,57.75,141.1,134.54,142.28,86.53,109.06
27,01/12/2012,1.6253,2.35,7.05,-0.2,5.14,49.76,65.5,1.231,9.73,159000,2,17.52,96.07612782,57.18,57.18,139.66,131.55,139.4,87.86,109.49
28,01/01/2013,1.5857,2.6,7.21,0.3,4.26,49.96,66.83,1.2,9.84,157929,3.1,17.79,96.95211039,57.85,57.85,139.46,131.71,139.35,94.76,112.96
29,01/02/2013,1.5162,2.28,7,0.7,3.68,51.44,68.88,1.1594,9.91,117964,3.6,17.72,100.3473214,64.59,64.59,143.9,136.37,144.03,95.31,116.05
30,01/03/2013,1.5203,2.47,7.63,-0.1,3.18,62.9,86.57,1.1634,9.57,144213,2.4,18.31,97.31678571,62.73,62.73,144.61,137.25,144.99,92.94,108.47
31,01/04/2013,1.5533,2.5,5.49,0.2,7.18,51.3,69.98,1.175,9.64,186690,2.5,17.71,93.23316327,57.76,57.76,141.27,136.81,144.24,92.02,102.25
32,01/05/2013,1.5199,2.6,4.16,0.5,10.15,48.89,66.14,1.1777,9.48,155031,2.9,16.94,93.12602041,55.39,55.39,137.95,132.75,140.54,94.51,102.56
33,01/06/2013,1.5212,2.27,3.99,0.1,13.47,47.31,60.47,1.174,9.06,148453,3.1,17.69,89.64267857,54.99,54.99,139.26,134.06,141.88,95.77,102.92
34,01/07/2013,1.5208,1.87,3.07,0.4,17.54,48.73,65.23,1.16,9.56,160793,2.9,16.98,82.22236025,56.94,56.94,139.62,134.74,142.26,104.67,107.93
35,01/08/2013,1.551,1.65,2.63,0.3,16.26,47.31,64.65,1.1649,10.21,140749,3.1,17,82.22142857,55.32,55.32,141.63,136.87,144.42,106.57,111.28
36,01/09/2013,1.6186,1.88,2.76,0,13.61,49.63,65.71,1.1883,10.26,145414,3.2,17.01,83.29591837,56.64,56.64,142.33,137.19,145.03,106.29,111.6
37,01/10/2013,1.6042,2.2,3.64,0.6,12.16,48.22,65.08,1.1797,10.41,213589,3.5,16.49,85.44363354,54.44,54.44,138.76,131.48,139.49,100.54,109.08
38,01/11/2013,1.6367,2.29,5.67,0,6.61,53.05,68.29,1.1938,10.42,358799,2.6,16.71,88.36326531,54.36,54.36,137.3,129.73,136.2,93.86,107.79
39,01/12/2013,1.6558,2.63,5.67,-0.2,6.67,50.81,69.35,1.1947,10.76,260325,2.2,17.72,89.44446429,54.72,54.72,138.77,130.79,138.55,97.63,110.76
40,01/01/2014,1.6436,2.7,5.96,0.5,5.69,47.67,65.1,1.2097,11.61,188870,3.4,17.76,87.97353896,55.67,55.67,138.11,130.16,137.77,94.62,108.12
41,01/02/2014,1.6745,2.48,5.24,0.4,6.05,45.15,58.86,1.2122,11.94,169946,3.5,17.96,83.02767857,52.87,52.87,136.65,129,136.34,100.82,108.9
42,01/03/2014,1.6663,2.62,4.8,0.6,7.42,44.41,56.53,1.2021,10.03,195773,3.6,17.81,79.75306122,51.59,51.59,136.03,128.62,136.26,100.8,107.48
43,01/04/2014,1.6873,2.5,3.73,-0.1,9.83,41.77,49.89,1.2125,10.26,201512,4.5,17.67,78.52071429,51.36,51.36,135.87,128.79,136.34,102.07,107.76
44,01/05/2014,1.6752,2.54,3.69,0.3,11.82,39.62,45.33,1.2267,10.02,179604,3.4,17.68,78.83464286,50.27,50.27,136.1,129.32,137.15,102.18,109.54
45,01/06/2014,1.7106,2.44,3.1,0.2,14.75,36.67,39.5,1.2436,10.17,163568,3.7,17.51,77.34846939,51.69,51.69,135.41,129.7,137.35,105.79,111.8
46,01/07/2014,1.6886,2.33,3.15,0.4,16.95,35.46,37.51,1.2611,9.94,145714,3.6,17.43,74.03804348,51.33,51.33,136.01,131.12,138.67,103.59,106.77
47,01/08/2014,1.6599,2.03,2.93,0,14.75,37.95,40.61,1.2542,9.69,150623,3.6,16.23,74.24839286,51.15,51.15,133.61,129.27,136.85,96.54,101.61
48,01/09/2014,1.6214,1.88,3.07,0.2,14.65,43.28,48.43,1.2639,9.86,180965,3.6,15.7,71.52564935,51.02,51.02,133.07,128.51,136.13,93.21,97.09
49,01/10/2014,1.5998,2.32,3.94,0.3,12.01,44.81,50.42,1.2678,8.75,232178,3.1,15.23,68.98462733,46.73,46.73,131.08,126.76,134.24,84.4,87.43
50,01/11/2014,1.5649,2.35,4.85,0.2,8.6,48.43,54.84,1.2646,7.84,216783,2.9,16.41,67.33071429,46.32,46.32,127.18,122.48,130.02,75.79,79.44
51,01/12/2014,1.5575,2.46,6.08,0.1,5.5,43.96,53.62,1.2686,5.63,250638,2.4,16.58,67.1622449,41.75,41.75,122.37,116.22,123.71,59.29,62.34
52,01/01/2015,1.5069,2.49,6.68,0,4.69,39.86,46.1,1.3045,5.08,155789,3.3,15.5,64.71632653,36.43,36.43,115.85,108.45,116.22,47.22,47.76
53,01/02/2015,1.5434,2.15,6.38,0.2,4.39,42.86,50.47,1.3503,5.7,230518,4.1,14.69,70.65910714,37.27,37.27,114.6,107.2,114.94,50.58,58.1
54,01/03/2015,1.4818,2.48,5.66,0.2,6.36,40.91,47.23,1.3825,5.52,304679,3.6,13.05,68.34496753,36.84,36.84,118.21,111.04,118.68,47.82,55.89
55,01/04/2015,1.5351,2.64,3.55,0.6,8.73,43.97,46.86,1.3856,5.58,214556,2.8,11.02,61.19785714,36.47,36.47,119.09,112.55,120.07,54.45,59.52
56,01/05/2015,1.5291,2.79,3.39,-0.1,10.4,41.21,44.09,1.3852,5.25,197166,2.6,9.04,65.6712406,36.87,36.87,120.97,115.75,123.32,59.27,64.08
57,01/06/2015,1.571,2.49,2.82,0.1,13.39,41.66,43.37,1.3879,4.78,174688,3,8.79,63.10470779,37.11,37.11,121.24,116.4,123.96,59.82,61.48
58,01/07/2015,1.5624,2.18,3.19,0.4,15.1,42.2,43.47,1.4139,4.73,192299,3.9,9.32,64.48322981,36.49,36.49,118.73,116.4,124.31,50.9,56.56
59,01/08/2015,1.5343,2.22,3.62,-0.2,15.39,40.86,39.69,1.4004,4.42,195183,3.1,10.16,63.39321429,30.38,30.38,111.7,114.48,122.33,42.87,46.52
60,01/09/2015,1.5129,2.24,3.58,0.3,12.74,42.04,41.04,1.3665,4.89,223703,3.6,10.01,61.76542208,31.1,31.1,109.81,111.49,118.63,45.48,47.62
61,01/10/2015,1.5429,2.53,4.58,0.3,10.99,40.29,39.56,1.3657,4.95,274581,3.8,10.37,57.33068182,31.28,31.28,110.68,108.9,117.22,46.22,48.43
62,01/11/2015,1.5056,2.65,5.15,0.1,9.25,38.01,35.9,1.4168,4.72,274206,3.4,9.4,55.77806122,30.02,30.02,110.12,107.24,115.64,42.44,44.27
63,01/12/2015,1.4739,2.81,4.89,0.2,9.11,35.07,34.03,1.3769,4.23,242630,2.9,10.15,55.86581633,28.59,28.59,107.77,103.68,112.36,37.19,38.01
64,01/01/2016,1.4247,2.87,6.4,-0.1,5.54,36.95,32.05,1.3257,3.69,189143,4.7,8.46,53.42892857,22.81,22.81,102.52,101.74,110.24,31.68,30.7
65,01/02/2016,1.3916,2.44,6.23,0.3,4.88,33.85,29.66,1.289,3.89,305057,5,7.99,53.78163265,21.89,21.89,101.02,101.4,109.72,30.32,32.18
66,01/03/2016,1.4362,2.44,6.41,-0.2,6.09,34.76,29.6,1.2809,4.48,361399,4,8.01,55.43520408,26.43,26.43,102.4,101.73,110.53,37.55,38.21
67,01/04/2016,1.4613,2.45,5.11,0.6,7.38,34.37,29.44,1.2622,4.65,273751,4.3,6.68,54.65867347,27.4,27.4,106.94,106.44,115.02,40.75,41.58
68,01/05/2016,1.4478,2.33,4.09,-0.3,11.83,34.61,30.41,1.2846,5.11,261324,4.8,6.81,54.52714286,29.56,29.56,109.07,108.43,117.19,46.71,46.74
69,01/06/2016,1.3311,1.99,3.18,0.1,14.41,37.51,34.2,1.2646,5.25,252712,4.3,7.08,56.22857143,32.01,32.01,111.86,110.96,119.71,48.76,48.25
70,01/07/2016,1.3231,2.38,3.37,0.1,16,38.4,34.3,1.1884,4.92,221175,3.6,6.85,64.41836735,32.38,32.38,112.65,111.66,120.46,44.65,44.95
71,01/08/2016,1.3138,1.8,3.07,0.1,16.26,36.51,30.36,1.1687,4.94,209178,3.5,7.42,71.32694805,30.03,30.03,110.68,109.05,118.35,44.72,45.84
72,01/09/2016,1.2976,1.92,3.73,0.3,15.41,51.13,28.36,1.1722,5.25,271374,6.3,7.79,76.37386364,31.94,31.94,113.23,111.21,120.13,45.18,46.57
73,01/10/2016,1.2244,2.4,4.64,0,10.83,56.03,42.83,1.119,6.05,384023,6.2,7.93,96.23979592,37.45,37.45,115.64,113.56,123.23,49.78,49.52
74,01/11/2016,1.2505,2.44,6.49,0.3,6.17,67.54,48.12,1.1533,5.45,297468,5.8,7.16,111.4280844,35.25,35.25,118.36,115.88,125.74,45.66,44.73
75,01/12/2016,1.2338,2.6,6.65,0.5,6.88,49.87,46.53,1.1838,6.66,317740,3.8,7.09,93.13446429,38.64,38.64,117.16,114.07,123.64,51.97,53.31
76,01/01/2017,1.2579,2.85,7.49,0.2,4.7,53.37,53.39,1.1613,6.78,239759,4.2,9.174090909,91.4244898,40.68,40.68,121.99,118.69,127.85,52.5,54.58
77,01/02/2017,1.2381,2.42,5.94,-0.2,6.15,49.49,51.01,1.1732,7.24,296055,3.4,7.128,85.96928571,40.42,40.42,122.8,119.86,128.87,53.47,54.87
78,01/03/2017,1.255,2.65,5.39,0.2,8.19,41.99,41.02,1.1548,5.91,388103,2.9,5.794782609,86.33385093,39.58,39.58,122.34,119.39,128.4,49.33,51.59
79,01/04/2017,1.2951,2.62,4.76,0.1,8.82,42.1,39.73,1.1798,6.25,327288,2.5,5.7095,90.11071429,39.77,39.77,119.89,117.3,126.71,51.06,52.31
80,01/05/2017,1.289,2.65,3.57,0.3,12.7,41.24,39.29,1.1696,6.14,304615,5.2,5.7190625,80.11836735,36.47,36.47,117.4,115.52,125.01,48.48,50.33
81,01/06/2017,1.3027,2.49,2.51,0.1,15.18,39.68,34.84,1.1403,5.73,315542,3.8,5.523636364,85.67337662,35.73,35.73,117.54,115.55,124.96,45.18,46.37
82,01/07/2017,1.3214,2.32,3.6,0.1,15.87,43.05,36.21,1.1281,6.27,306437,4,5.631904762,90.77397959,34.99,34.99,115.4,113.9,123.13,46.63,48.48
83,01/08/2017,1.2931,1.79,3.68,0.2,15.27,43.34,42.57,1.0974,7.01,348605,3.8,6.130869565,102.7724026,36.92,36.92,117.35,115.64,125.18,48.04,51.7
84,01/09/2017,1.3397,2.06,3.56,0.3,13.38,47.17,46,1.1186,7.8,454861,5,7.084285714,104.775,38.5,38.5,120.52,118.93,128.48,49.82,56.15
85,01/10/2017,1.3283,2.63,4.25,-0.1,12.15,46.68,45.4,1.1227,7.84,460559,3.9,8.792727273,103.2496753,39.95,39.95,120.34,117.15,126.63,51.58,57.51
86,01/11/2017,1.3526,2.69,5.63,0.3,6.92,51.45,52.95,1.1259,8.03,375183,2.9,9.571428571,102.487013,43.43,43.43,122.72,119.12,128.71,56.64,62.71
87,01/12/2017,1.3515,1.89,7.89,0.1,5.35,56.18,58.29,1.133,7.82,325882,2.7,10.70904762,105.968797,43.59,43.59,123.51,119.99,129.53,57.88,64.37
88,01/01/2018,1.4192,2.56,7.54,0.1,5.11,50.84,50.44,1.1331,7.91,253513,2.9,11.66956522,111.9326299,45.92,45.92,124.55,121.16,130.51,63.7,69.08
89,01/02/2018,1.376,2.38,7.08,-0.3,3.3,53.68,58.96,1.1311,7.43,347711,2.9,10.471,111.4773214,42.87,42.87,124.66,121.44,131.14,62.23,65.32
90,01/03/2018,1.4018,2.4,7.17,0,4.75,56.79,64.3,1.1328,7.17,374228,3.6,8.460909091,105.7280612,44.2,44.2,122.79,119.11,128.96,62.73,66.02
91,01/04/2018,1.3772,2.49,4.4,0.2,9.23,50.74,50.94,1.1477,7.49,371819,3.2,7.475238095,99.22339286,45.93,45.93,124.16,120.57,130.04,66.25,72.11
92,01/05/2018,1.33,2.42,3.15,0.2,12.57,54.25,55.58,1.1397,8.4,399163,4.7,8.612608696,109.375,49.49,49.49,128.29,124.67,134.33,69.98,76.98
93,01/06/2018,1.3209,2.36,2.16,0.3,15.42,54,54.97,1.1378,8.57,388672,3.9,10.43761905,121.5244898,48.93,48.93,131.88,127.94,138.25,67.87,74.41
94,01/07/2018,1.3127,2.24,3.49,0.3,17.86,57.61,57.93,1.1269,8.99,364991,3.2,9.972272727,125.0858766,48.46,48.46,131.8,127.62,137.73,70.98,74.25
95,01/08/2018,1.2963,1.94,3.27,0.1,16.06,61.94,62.83,1.1157,9.18,394160,4.3,10.59043478,123.7349026,49.1,49.1,132.49,128.62,138.69,68.06,72.53
96,01/09/2018,1.3031,2.1,2.7,0.1,13.34,67.69,73.72,1.1195,10.46,433386,4.9,11.0905,122.2291071,51.3,51.3,134.48,130.75,140.89,70.23,78.89
97,01/10/2018,1.2766,2.25,4.4,0.3,10.58,64.76,66.53,1.133,9.11,469695,4.3,10.03565217,114.7621118,53.6,53.6,136.62,130.88,141.37,70.75,81.03
98,01/11/2018,1.2752,2.3,5.47,0.1,8.37,62.19,64.37,1.1352,6.97,381638,3.8,9.777272727,107.5529221,51.56,51.56,137.06,128.61,138.93,56.96,64.75
99,01/12/2018,1.2759,2.37,6.36,-0.3,7.03,64.32,63.74,1.1128,6.38,338140,2.6,8.951904762,106.143609,46.97,46.97,131,120.97,131.38,49.52,57.36
100,01/01/2019,1.3102,2.53,7.85,0.4,4.49,62.55,57.71,1.1298,6.46,291442,3.4,8.285652174,105.4012987,46.59,46.59,129.27,119.46,129.55,51.38,59.41
101,01/02/2019,1.3263,2.23,5.61,0.4,6.86,50.27,47.09,1.1473,6.6,350030,3.5,6.501,101.3571429,47.22,47.22,128.93,118.85,129.29,54.95,63.96
102,01/03/2019,1.3033,2.49,5.27,0.2,7.65,44.96,39.31,1.1653,6.58,486248,3.4,5.245238095,99.66989796,46.59,46.59,130.72,120.41,131.81,58.15,66.14
103,01/04/2019,1.3034,2.73,6.77,-0.4,9.13,43.87,34.98,1.1603,6.09,521932,4.3,5.079761905,88.76464286,47.87,47.87,132.85,124.1,135.48,63.86,71.23
104,01/05/2019,1.2632,2.55,4.72,0.3,10.82,41.35,31.43,1.1479,5.61,381018,3.6,5.03326087,89.56428571,47.84,47.84,135.33,128.07,139.08,60.83,71.32
105,01/06/2019,1.2695,1.97,4.08,0.1,13.91,39.4,27.96,1.1225,4.5,336312,3.5,4.38925,77.62982143,44.27,44.27,133.39,127.63,139.09,54.66,64.22
106,01/07/2019,1.2159,2.2,3.11,0.3,16.98,41.86,29.6,1.1118,4.62,401663,4,4.419347826,77.84580745,47.43,47.43,131.76,127.38,138.29,57.35,63.92
107,01/08/2019,1.2158,2.03,2.63,-0.1,16.6,39.62,27.75,1.0925,4.48,390926,3.6,4.280227273,69.73928571,47.5,47.5,132.58,128.51,139.81,54.81,59.04
108,01/09/2019,1.2289,2.23,3.02,0,14.09,37.32,24.87,1.1223,5.04,435740,4.5,5.05452381,66.95867347,46.69,46.69,131.27,126.99,138.83,56.95,62.83
109,01/10/2019,1.2942,2.48,4.45,0.2,10.12,37.74,25.65,1.144,5.12,430526,3.6,6.017391304,69.19425466,48.34,48.34,131.89,127.07,138.74,53.96,59.71
110,01/11/2019,1.2934,2.62,6.08,-0.3,6.57,46.04,38.04,1.166,5.64,377639,3,5.456428571,69.72908163,46.49,46.49,130.28,125.65,137.6,57.03,63.21
111,01/12/2019,1.3261,2.71,6.3,0.1,6.29,39.94,32.14,1.1791,5.33,418379,2.7,5.573409091,70.46464286,46.3,46.3,129.43,124.41,136.58,59.88,67.31
112,01/01/2020,1.3201,2.67,3.67,0.1,6.48,35.93,27.9,1.1779,4.84,329442,3.4,4.913695652,72.10616883,48.2,48.2,132.63,127.14,139.21,57.52,63.65
113,01/02/2020,1.2821,2.58,3.63,-0.3,6.07,32.04,23.5,1.1882,4.38,390406,3.7,2.92025,71.05017857,41.06,41.06,127.79,123.58,136.1,50.54,55.66
114,01/03/2020,1.242,2.54,3.82,-7.3,6.53,33.22,22.92,1.1193,3.06,422059,3.6,3.278863636,70.20487013,31.94,31.94,124.09,120.24,132.74,29.21,32.01
115,01/04/2020,1.2594,2.6,3.85,-19.5,9.93,24.01,13.75,1.1419,2.85,318991,4.8,2.126363636,64.62,22.42,22.42,115.81,108.97,123.13,16.55,18.38
116,01/05/2020,1.2346,2.64,3.42,2.7,12.1,24.13,11.59,1.1275,3.89,321421,3.8,2.032142857,54.14830827,20.26,20.26,111.62,104.78,118.85,28.56,29.38
117,01/06/2020,1.2399,2.45,2.94,9.1,14.61,28.42,13.18,1.1123,4.21,342908,3.9,2.050454545,55.00275974,26.21,26.21,111.9,105.83,120.09,38.31,40.27
118,01/07/2020,1.3088,2.5,3.23,6.3,17.76,31.28,13.24,1.1059,4.54,389096,4,2.286956522,51.67220497,27.31,27.31,116.55,111.15,124.59,40.71,43.24